Rpsi(lP),Evac
2.357064780096796678e+39,1.861971988306122539e-01
2.359237151721996071e+39,1.865863304799317834e-01
2.361411525497677918e+39,1.869756264005978386e-01
2.363587903269187090e+39,1.873650855841708096e-01
2.365766286883414370e+39,1.877547070217399361e-01
2.367946678189107453e+39,1.881444897040222830e-01
2.370129079036563270e+39,1.885344326212828603e-01
2.372313491277900304e+39,1.889245347633991545e-01
2.374499916766943435e+39,1.893147951198155265e-01
2.376688357359110303e+39,1.897052126795663596e-01
2.378878814911683919e+39,1.900957864312996237e-01
2.381071291283503487e+39,1.904865153632378794e-01
2.383265788335276604e+39,1.908773984632018972e-01
2.385462307929270683e+39,1.912684347186335010e-01
2.387660851929624858e+39,1.916596231165572095e-01
2.389861422202040495e+39,1.920509626436104345e-01
2.392064020614055624e+39,1.924424522860320452e-01
2.394268649034929479e+39,1.928340910296926780e-01
2.396475309335526449e+39,1.932258778600561555e-01
2.398684003388592615e+39,1.936178117622096573e-01
2.400894733068442335e+39,1.940098917208522844e-01
2.403107500251274684e+39,1.944021167203255351e-01
2.405322306814860945e+39,1.947944857445676192e-01
2.407539154638860744e+39,1.951869977771782949e-01
2.409758045604507424e+39,1.955796518013382668e-01
2.411978981594926601e+39,1.959724467999089947e-01
2.414201964494822143e+39,1.963653817553519532e-01
2.416426996190752107e+39,1.967584556497870285e-01
2.418654078571014499e+39,1.971516674649810563e-01
2.420883213525528189e+39,1.975450161823020245e-01
2.423114402946112482e+39,1.979385007828117216e-01
2.425347648726172186e+39,1.983321202471853839e-01
2.427582952761014960e+39,1.987258735557834444e-01
2.429820316947537595e+39,1.991197596885711796e-01
2.432059743184542755e+39,1.995137776252182416e-01
2.434301233372424956e+39,1.999079263450182498e-01
2.436544789413449224e+39,2.003022048269537114e-01
2.438790413211634134e+39,2.006966120496502248e-01
2.441038106672633330e+39,2.010911469914068439e-01
2.443287871704016002e+39,2.014858086301848095e-01
2.445539710214950445e+39,2.018805959436378028e-01
2.447793624116523821e+39,2.022755079090735320e-01
2.450049615321424818e+39,2.026705435034832636e-01
2.452307685744264921e+39,2.030657017035314149e-01
2.454567837301260158e+39,2.034609814855855292e-01
2.456830071910552985e+39,2.038563818256773352e-01
2.459094391491892821e+39,2.042519016995262005e-01
2.461360797966919540e+39,2.046475400825557567e-01
2.463629293259043794e+39,2.050432959498898200e-01
2.465899879293327626e+39,2.054391682763058169e-01
2.468172557996769778e+39,2.058351560363284316e-01
2.470447331297982304e+39,2.062312582041483100e-01
2.472724201127516979e+39,2.066274737536948070e-01
2.475003169417542818e+39,2.070238016585544683e-01
2.477284238102171884e+39,2.074202408920718943e-01
2.479567409117136502e+39,2.078167904272682220e-01
2.481852684400074866e+39,2.082134492369069056e-01
2.484140065890410455e+39,2.086102162934471704e-01
2.486429555529232948e+39,2.090070905690681324e-01
2.488721155259583533e+39,2.094040710356918356e-01
2.491014867026131217e+39,2.098011566649444215e-01
2.493310692775500141e+39,2.101983464281866054e-01
2.495608634455945891e+39,2.105956392965022683e-01
2.497908694017682819e+39,2.109930342407292381e-01
2.500210873412558531e+39,2.113905302314200152e-01
2.502515174594383931e+39,2.117881262388721930e-01
2.504821599518606808e+39,2.121858212331172722e-01
2.507130150142599561e+39,2.125836141839444748e-01
2.509440828425538912e+39,2.129815040608962207e-01
2.511753636328284707e+39,2.133794898332146139e-01
2.514068575813667343e+39,2.137775704699708401e-01
2.516385648846162264e+39,2.141757449399127600e-01
2.518704857392219994e+39,2.145740122116087112e-01
2.521026203419938523e+39,2.149723712533230247e-01
2.523349688899395152e+39,2.153708210331599926e-01
2.525675315802317067e+39,2.157693605189112962e-01
2.528003086102373288e+39,2.161679886781924798e-01
2.530333001775051364e+39,2.165667044783543826e-01
2.532665064797535569e+39,2.169655068865487257e-01
2.534999277148998560e+39,2.173643948696820372e-01
2.537335640810270128e+39,2.177633673944458503e-01
2.539674157764172676e+39,2.181624234273060736e-01
2.542014829995189671e+39,2.185615619345330218e-01
2.544357659489799610e+39,2.189607818821625307e-01
2.546702648236145984e+39,2.193600822360263214e-01
2.549049798224370335e+39,2.197594619617408984e-01
2.551399111446282220e+39,2.201589200247381917e-01
2.553750589895651772e+39,2.205584553902190659e-01
2.556104235568087599e+39,2.209580670232194344e-01
2.558460050460910751e+39,2.213577538885211082e-01
2.560818036573451513e+39,2.217575149507886589e-01
2.563178195906714835e+39,2.221573491744169571e-01
2.565540530463717923e+39,2.225572555236746686e-01
2.567905042249155672e+39,2.229572329625802152e-01
2.570271733269738858e+39,2.233572804550455482e-01
2.572640605533859874e+39,2.237573969647232430e-01
2.575011661051888011e+39,2.241575814551368950e-01
2.577384901836045234e+39,2.245578328896266074e-01
2.579760329900281975e+39,2.249581502313451054e-01
2.582137947260573613e+39,2.253585324432813564e-01
2.584517755934584399e+39,2.257589784882494122e-01
2.586899757942007158e+39,2.261594873289188845e-01
2.589283955304227216e+39,2.265600579277757820e-01
2.591670350044661797e+39,2.269606892471529302e-01
2.594058944188423947e+39,2.273613802492190084e-01
2.596449739762662846e+39,2.277621298960092189e-01
2.598842738796225307e+39,2.281629371493855418e-01
2.601237943319956801e+39,2.285638009710539431e-01
2.603635355366573610e+39,2.289647203226229666e-01
2.606034976970537707e+39,2.293656941654869386e-01
2.608436810168357471e+39,2.297667214609624420e-01
2.610840856998246172e+39,2.301678011701640270e-01
2.613247119500467718e+39,2.305689322541482622e-01
2.615655599716994836e+39,2.309701136737608018e-01
2.618066299691853007e+39,2.313713443897806865e-01
2.620479221470781364e+39,2.317726233627953047e-01
2.622894367101531602e+39,2.321739495533381992e-01
2.625311738633744058e+39,2.325753219217706613e-01
2.627731338118818358e+39,2.329767394283488169e-01
2.630153167610217464e+39,2.333782010332046408e-01
2.632577229163124034e+39,2.337797056963770437e-01
2.635003524834787686e+39,2.341812523777723476e-01
2.637432056684181667e+39,2.345828400371949285e-01
2.639862826772348901e+39,2.349844676343361138e-01
2.642295837162059568e+39,2.353861341288047138e-01
2.644731089918157759e+39,2.357878384800878857e-01
2.647168587107217839e+39,2.361895796475816101e-01
2.649608330797848494e+39,2.365913565905723714e-01
2.652050323060564585e+39,2.369931682683034946e-01
2.654494565967659603e+39,2.373950136398575717e-01
2.656941061593510321e+39,2.377968916642936303e-01
2.659389812014231948e+39,2.381988013005223448e-01
2.661840819308026602e+39,2.386007415074505589e-01
2.664294085554837855e+39,2.390027112438277979e-01
2.666749612836700725e+39,2.394047094683909305e-01
2.669207403237394406e+39,2.398067351397392410e-01
2.671667458842749033e+39,2.402087872164719029e-01
2.674129781740518750e+39,2.406108646570698784e-01
2.676594374020248720e+39,2.410129664199557320e-01
2.679061237773586433e+39,2.414150914635100620e-01
2.681530375093931108e+39,2.418172387460319761e-01
2.684001788076787312e+39,2.422194072257701780e-01
2.686475478819414668e+39,2.426215958609112266e-01
2.688951449421182072e+39,2.430238036096108445e-01
2.691429701983217106e+39,2.434260294299538385e-01
2.693910238608759951e+39,2.438282722799853530e-01
2.696393061402812793e+39,2.442305311176994898e-01
2.698878172472450526e+39,2.446328049010627892e-01
2.701365573926689577e+39,2.450350925880104558e-01
2.703855267876358251e+39,2.454373931363918460e-01
2.706347256434406818e+39,2.458397055041012247e-01
2.708841541715555720e+39,2.462420286489239996e-01
2.711338125836651598e+39,2.466443615286815494e-01
2.713837010916314886e+39,2.470467031011062964e-01
2.716338199075296148e+39,2.474490523239860906e-01
2.718841692436123068e+39,2.478514081550109716e-01
2.721347493123412657e+39,2.482537695519106136e-01
2.723855603263739780e+39,2.486561354723646478e-01
2.726366024985505991e+39,2.490585048740696916e-01
2.728878760419252941e+39,2.494608767146916650e-01
2.731393811697306961e+39,2.498632499518976535e-01
2.733911180954138413e+39,2.502656235433436960e-01
2.736430870326006261e+39,2.506679964467064536e-01
2.738952881951317732e+39,2.510703676196429091e-01
2.741477217970269869e+39,2.514727360198216743e-01
2.744003880525214624e+39,2.518751006049115282e-01
2.746532871760296181e+39,2.522774603326123355e-01
2.749064193821770113e+39,2.526798141606081405e-01
2.751597848857871610e+39,2.530821610466338911e-01
2.754133839018679474e+39,2.534844999483855110e-01
2.756672166456434670e+39,2.538868298236579002e-01
2.759212833325180671e+39,2.542891496301911691e-01
2.761755841781127951e+39,2.546914583258153564e-01
2.764301193982292513e+39,2.550937548683255285e-01
2.766848892088860988e+39,2.554960382156261645e-01
2.769398938262829164e+39,2.558983073255778895e-01
2.771951334668321746e+39,2.563005611561279817e-01
2.774506083471458168e+39,2.567027986652561378e-01
2.777063186840217192e+39,2.571050188109700874e-01
2.779622646944758481e+39,2.575072205513296852e-01
2.782184465957059320e+39,2.579094028444354758e-01
2.784748646051280916e+39,2.583115646484595018e-01
2.787315189403406328e+39,2.587137049216056139e-01
2.789884098191606169e+39,2.591158226221405569e-01
2.792455374595876525e+39,2.595179167083825900e-01
2.795029020798403456e+39,2.599199861387322952e-01
2.797605038983204541e+39,2.603220298716328318e-01
2.800183431336445018e+39,2.607240468655868670e-01
2.802764200046305403e+39,2.611260360792159729e-01
2.805347347302846696e+39,2.615279964711427763e-01
2.807932875298330748e+39,2.619299270001284596e-01
2.810520786226855767e+39,2.623318266249475839e-01
2.813111082284726856e+39,2.627336943045328055e-01
2.815703765670089706e+39,2.631355289978217216e-01
2.818298838583298718e+39,2.635373296639009211e-01
2.820896303226553110e+39,2.639390952618816399e-01
2.823496161804219708e+39,2.643408247510364295e-01
2.826098416522696332e+39,2.647425170906823055e-01
2.828703069590277000e+39,2.651441712402461404e-01
2.831310123217475322e+39,2.655457861592470103e-01
2.833919579616656373e+39,2.659473608073267825e-01
2.836531441002410260e+39,2.663488941442103686e-01
2.839145709591183394e+39,2.667503851297367556e-01
2.841762387601649027e+39,2.671518327238476265e-01
2.844381477254340344e+39,2.675532358866182236e-01
2.847002980772022811e+39,2.679545935782177701e-01
2.849626900379324849e+39,2.683559047589402780e-01
2.852253238303064245e+39,2.687571683891858965e-01
2.854881996772111539e+39,2.691583834295280808e-01
2.857513178017251003e+39,2.695595488405947426e-01
2.860146784271510675e+39,2.699606635832063062e-01
2.862782817769788195e+39,2.703617266182509193e-01
2.865421280749229809e+39,2.707627369068282275e-01
2.868062175448855593e+39,2.711636934100968288e-01
2.870705504109935437e+39,2.715645950894183258e-01
2.873351268975619715e+39,2.719654409062327582e-01
2.875999472291264485e+39,2.723662298221953271e-01
2.878650116304297301e+39,2.727669607990594325e-01
2.881303203264074556e+39,2.731676327987355157e-01
2.883958735422214545e+39,2.735682447833079345e-01
2.886616715032222697e+39,2.739687957149955500e-01
2.889277144349869359e+39,2.743692845561819804e-01
2.891940025632815040e+39,2.747697102694051652e-01
2.894605361140991210e+39,2.751700718173873961e-01
2.897273153136221313e+39,2.755703681629962376e-01
2.899943403882603383e+39,2.759705982692749471e-01
2.902616115646133469e+39,2.763707610994315389e-01
2.905291290695036881e+39,2.767708556168623768e-01
2.907968931299630368e+39,2.771708807851477330e-01
2.910649039732180073e+39,2.775708355680053807e-01
2.913331618267237614e+39,2.779707189293846303e-01
2.916016669181259270e+39,2.783705298333846723e-01
2.918704194752991026e+39,2.787702672443275742e-01
2.921394197263086553e+39,2.791699301266764022e-01
2.924086678994494666e+39,2.795695174451366949e-01
2.926781642232076099e+39,2.799690281645744183e-01
2.929479089262940184e+39,2.803684612500824125e-01
2.932179022376304624e+39,2.807678156669261016e-01
2.934881443863354644e+39,2.811670903806030575e-01
2.937586356017576664e+39,2.815662843567962037e-01
2.940293761134380502e+39,2.819653965614045132e-01
2.943003661511482607e+39,2.823644259605319062e-01
2.945716059448525852e+39,2.827633715205177811e-01
2.948430957247463971e+39,2.831622322078978793e-01
2.951148357212180749e+39,2.835610069894344276e-01
2.953868261648875063e+39,2.839596948321054248e-01
2.956590672865678862e+39,2.843582947031352282e-01
2.959315593172996272e+39,2.847568055699548073e-01
2.962043024883360338e+39,2.851552264002328307e-01
2.964772970311290973e+39,2.855535561618640639e-01
2.967505431773634669e+39,2.859517938230005107e-01
2.970240411589179452e+39,2.863499383520043962e-01
2.972977912079043552e+39,2.867479887175144460e-01
2.975717935566291572e+39,2.871459438883640636e-01
2.978460484376322548e+39,2.875438028336825824e-01
2.981205560836484911e+39,2.879415645228133869e-01
2.983953167276417400e+39,2.883392279253726986e-01
2.986703306027907017e+39,2.887367920112388076e-01
2.989455979424741535e+39,2.891342557505046651e-01
2.992211189803057066e+39,2.895316181135725864e-01
2.994968939500945763e+39,2.899288780710724267e-01
2.997729230858851747e+39,2.903260345939271403e-01
3.000492066219178804e+39,2.907230866533069280e-01
3.003257447926686314e+39,2.911200332206593244e-01
3.006025378328098766e+39,2.915168732676982621e-01
3.008795859772499263e+39,2.919136057664346029e-01
3.011568894610940853e+39,2.923102296891368357e-01
3.014344485196788048e+39,2.927067440083617189e-01
3.017122633885577198e+39,2.931031476969427341e-01
3.019903343034866581e+39,2.934994397280212830e-01
3.022686615004585177e+39,2.938956190750067754e-01
3.025472452156637956e+39,2.942916847116006096e-01
3.028260856855306033e+39,2.946876356118195983e-01
3.031051831466851345e+39,2.950834707499571108e-01
3.033845378359913789e+39,2.954791891006131044e-01
3.036641499905119527e+39,2.958747896386831333e-01
3.039440198475427340e+39,2.962702713393820519e-01
3.042241476445982960e+39,2.966656331782392964e-01
3.045045336193972784e+39,2.970608741310532541e-01
3.047851780098973254e+39,2.974559931739839680e-01
3.050660810542553124e+39,2.978509892834725337e-01
3.053472429908677842e+39,2.982458614363066030e-01
3.056286640583308190e+39,2.986406086095736989e-01
3.059103444954805873e+39,2.990352297806921911e-01
3.061922845413531559e+39,2.994297239273999156e-01
3.064744844352250467e+39,2.998240900277847620e-01
3.067569444165733424e+39,3.002183270602451493e-01
3.070396647251107454e+39,3.006124340035141174e-01
3.073226456007708893e+39,3.010064098366825869e-01
3.076058872836935900e+39,3.014002535391597792e-01
3.078893900142600254e+39,3.017939640907048582e-01
3.081731540330527200e+39,3.021875404714143842e-01
3.084571795808961649e+39,3.025809816617535675e-01
3.087414668988167416e+39,3.029742866425171322e-01
3.090260162280828589e+39,3.033674543948591262e-01
3.093108278101653597e+39,3.037604839002827073e-01
3.095959018867727019e+39,3.041533741406627356e-01
3.098812386998360874e+39,3.045461240982417217e-01
3.101668384914945933e+39,3.049387327555770355e-01
3.104527015041305929e+39,3.053311990956686373e-01
3.107388279803296798e+39,3.057235221018085314e-01
3.110252181629212881e+39,3.061157007577227085e-01
3.113118722949383140e+39,3.065077340474484102e-01
3.115987906196579778e+39,3.068996209554759602e-01
3.118859733805614454e+39,3.072913604665984955e-01
3.121734208213694918e+39,3.076829515660464143e-01
3.124611331860275106e+39,3.080743932394001683e-01
3.127491107186904019e+39,3.084656844726544334e-01
3.130373536637585990e+39,3.088568242521735896e-01
3.133258622658372062e+39,3.092478115647206427e-01
3.136146367697774650e+39,3.096386453974468989e-01
3.139036774206354696e+39,3.100293247379221073e-01
3.141929844637139952e+39,3.104198485740951030e-01
3.144825581445211534e+39,3.108102158943250592e-01
3.147723987088119786e+39,3.112004256873689978e-01
3.150625064025473250e+39,3.115904769424132637e-01
3.153528814719303759e+39,3.119803686490270622e-01
3.156435241633910488e+39,3.123700997972205240e-01
3.159344347235709438e+39,3.127596693773921910e-01
3.162256133993596725e+39,3.131490763803932986e-01
3.165170604378536933e+39,3.135383197974484504e-01
3.168087760863979597e+39,3.139273986202540945e-01
3.171007605925444535e+39,3.143163118408983103e-01
3.173930142040943766e+39,3.147050584519330285e-01
3.176855371690562617e+39,3.150936374462932066e-01
3.179783297356882243e+39,3.154820478173965825e-01
3.182713921524561942e+39,3.158702885590630172e-01
3.185647246680707877e+39,3.162583586655793311e-01
3.188583275314718940e+39,3.166462571316538410e-01
3.191522009918131403e+39,3.170339829524395081e-01
3.194463452984987037e+39,3.174215351235569194e-01
3.197407607011416638e+39,3.178089126410560961e-01
3.200354474496061334e+39,3.181961145014464143e-01
3.203304057939654907e+39,3.185831397016852806e-01
3.206256359845446305e+39,3.189699872392082747e-01
3.209211382718781966e+39,3.193566561118909020e-01
3.212169129067473326e+39,3.197431453180642480e-01
3.215129601401645101e+39,3.201294538565730985e-01
3.218092802233576916e+39,3.205155807266616974e-01
3.221058734078073239e+39,3.209015249281063076e-01
3.224027399452047509e+39,3.212872854610951401e-01
3.226998800874942239e+39,3.216728613263671321e-01
3.229972940868311327e+39,3.220582515250645650e-01
3.232949821956245001e+39,3.224434550588721193e-01
3.235929446664946086e+39,3.228284709298966937e-01
3.238911817523106584e+39,3.232132981407992989e-01
3.241896937061747495e+39,3.235979356946820928e-01
3.244884807814064674e+39,3.239823825951521630e-01
3.247875432315800580e+39,3.243666378463037070e-01
3.250868813104821150e+39,3.247507004527477315e-01
3.253864952721546175e+39,3.251345694195739155e-01
3.256863853708521345e+39,3.255182437523803096e-01
3.259865518610851038e+39,3.259017224572625104e-01
3.262869949975770368e+39,3.262850045408429156e-01
3.265877150353076763e+39,3.266680890102332535e-01
3.268887122294703222e+39,3.270509748730638933e-01
3.271899868355096098e+39,3.274336611374659700e-01
3.274915391091053710e+39,3.278161468121351674e-01
3.277933693061573415e+39,3.281984309062191407e-01
3.280954776828222744e+39,3.285805124294418622e-01
3.283978644954717490e+39,3.289623903920181891e-01
3.287005300007349062e+39,3.293440638047240854e-01
3.290034744554560758e+39,3.297255316788181845e-01
3.293066981167376931e+39,3.301067930261387673e-01
3.296102012418978055e+39,3.304878468590253804e-01
3.299139840885075489e+39,3.308686921903820077e-01
3.302180469143756132e+39,3.312493280336328838e-01
3.305223899775320425e+39,3.316297534027444760e-01
3.308270135362663166e+39,3.320099673122489103e-01
3.311319178490842522e+39,3.323899687772058353e-01
3.314371031747517669e+39,3.327697568132321204e-01
3.317425697722513569e+39,3.331493304364905317e-01
3.320483179008260421e+39,3.335286886637195414e-01
3.323543478199360260e+39,3.339078305121955248e-01
3.326606597893024586e+39,3.342867549997620702e-01
3.329672540688639154e+39,3.346654611448189875e-01
3.332741309188150825e+39,3.350439479663454012e-01
3.335812905995902555e+39,3.354222144838947539e-01
3.338887333718475623e+39,3.358002597175449022e-01
3.341964594965071655e+39,3.361780826880202411e-01
3.345044692347076809e+39,3.365556824165473193e-01
3.348127628478505445e+39,3.369330579249913415e-01
3.351213405975560682e+39,3.373102082357380405e-01
3.354302027457075056e+39,3.376871323718300677e-01
3.357393495544077720e+39,3.380638293568225539e-01
3.360487812860175860e+39,3.384402982149123940e-01
3.363584982031396933e+39,3.388165379708540925e-01
3.366685005686020624e+39,3.391925476500223247e-01
3.369787886454972956e+39,3.395683262783678047e-01
3.372893626971380804e+39,3.399438728824464295e-01
3.376002229871021006e+39,3.403191864894083429e-01
3.379113697791876689e+39,3.406942661270274675e-01
3.382228033374585785e+39,3.410691108236638125e-01
3.385345239261996742e+39,3.414437196082924508e-01
3.388465318099615231e+39,3.418180915104930273e-01
3.391588272535164695e+39,3.421922255604789020e-01
3.394714105218974416e+39,3.425661207890529636e-01
3.397842818803816314e+39,3.429397762276696904e-01
3.400974415944741130e+39,3.433131909083520505e-01
3.404108899299468313e+39,3.436863638638192886e-01
3.407246271527944150e+39,3.440592941273440952e-01
3.410386535292790886e+39,3.444319807328875549e-01
3.413529693258858817e+39,3.448044227149822949e-01
3.416675748093680241e+39,3.451766191088672109e-01
3.419824702467020946e+39,3.455485689503448588e-01
3.422976559051276135e+39,3.459202712759027465e-01
3.426131320521302380e+39,3.462917251226627635e-01
3.429288989554255031e+39,3.466629295283775170e-01
3.432449568829979898e+39,3.470338835314523696e-01
3.435613061030570186e+39,3.474045861709345595e-01
3.438779468840812587e+39,3.477750364865422883e-01
3.441948794947746625e+39,3.481452335186278058e-01
3.445121042041110751e+39,3.485151763082059428e-01
3.448296212812898670e+39,3.488848638969435645e-01
3.451474309957810263e+39,3.492542953271883799e-01
3.454655336172803083e+39,3.496234696419318611e-01
3.457839294157488879e+39,3.499923858848252300e-01
3.461026186613969786e+39,3.503610431002336933e-01
3.464216016246666661e+39,3.507294403331284727e-01
3.467408785762719232e+39,3.510975766292127043e-01
3.470604497871537594e+39,3.514654510348070304e-01
3.473803155285253129e+39,3.518330625969819381e-01
3.477004760718272422e+39,3.522004103634175931e-01
3.480209316887728183e+39,3.525674933825354018e-01
3.483416826513033156e+39,3.529343107033848792e-01
3.486627292316273626e+39,3.533008613757682159e-01
3.489840717022048025e+39,3.536671444501329753e-01
3.493057103357292243e+39,3.540331589776332111e-01
3.496276454051685827e+39,3.543989040101117594e-01
3.499498771837193195e+39,3.547643786001292709e-01
3.502724059448527255e+39,3.551295818009275185e-01
3.505952319622692439e+39,3.554945126664578181e-01
3.509183555099444083e+39,3.558591702513702049e-01
3.512417768620832675e+39,3.562235536110423539e-01
3.515654962931667468e+39,3.565876618015427768e-01
3.518895140779055279e+39,3.569514938796592984e-01
3.522138304912809106e+39,3.573150489028821819e-01
3.525384458085275855e+39,3.576783259294643025e-01
3.528633603051165279e+39,3.580413240183144552e-01
3.531885742567957988e+39,3.584040422291219219e-01
3.535140879395444243e+39,3.587664796222431174e-01
3.538399016296190002e+39,3.591286352588324848e-01
3.541660156035073896e+39,3.594905082007038843e-01
3.544924301379756899e+39,3.598520975104544384e-01
3.548191455100218100e+39,3.602134022513847067e-01
3.551461619969161509e+39,3.605744214875571951e-01
3.554734798761849824e+39,3.609351542837553328e-01
